Timestamp | Command | CPU% | MEM% | RSS
2024-10-16 15:02:47 | node | 1.5 | 5.8 | 950.22
2024-10-16 15:02:48 | node | 1.2 | 5.8 | 950.23
2024-10-16 15:02:49 | node | 1.0 | 5.8 | 950.25
2024-10-16 15:02:50 | k6 | 67.8 | 0.6 | 105.11
2024-10-16 15:02:50 | node | 0.4 | 5.8 | 950.27
2024-10-16 15:02:51 | k6 | 11.6 | 2.3 | 384.88
2024-10-16 15:02:51 | node | 5.0 | 5.8 | 949.45
2024-10-16 15:02:52 | k6 | 0.5 | 2.4 | 385.48
2024-10-16 15:02:52 | node | 8.5 | 5.8 | 953.73
2024-10-16 15:02:53 | k6 | 0.3 | 2.4 | 385.97
2024-10-16 15:02:53 | node | 19.5 | 5.9 | 960.31
2024-10-16 15:02:54 | k6 | 0.6 | 2.4 | 386.44
2024-10-16 15:02:54 | node | 33.3 | 5.9 | 968.55
2024-10-16 15:02:55 | k6 | 0.5 | 2.4 | 386.92
2024-10-16 15:02:55 | node | 30.2 | 6.0 | 986.06
2024-10-16 15:02:56 | k6 | 0.6 | 2.4 | 387.50
2024-10-16 15:02:56 | node | 33.2 | 6.1 | 993.83
2024-10-16 15:02:57 | k6 | 0.6 | 2.4 | 388.09
2024-10-16 15:02:57 | node | 42.3 | 6.1 | 1001.17
2024-10-16 15:02:58 | k6 | 0.6 | 2.4 | 388.70
2024-10-16 15:02:58 | node | 41.9 | 6.2 | 1008.52
2024-10-16 15:02:59 | k6 | 0.8 | 2.4 | 389.44
2024-10-16 15:02:59 | node | 46.4 | 6.2 | 1018.73
2024-10-16 15:03:01 | k6 | 0.7 | 2.4 | 390.41
2024-10-16 15:03:01 | node | 51.3 | 6.3 | 1029.64
2024-10-16 15:03:02 | k6 | 0.9 | 2.4 | 391.73
2024-10-16 15:03:02 | node | 54.4 | 6.4 | 1041.06
2024-10-16 15:03:03 | k6 | 1.1 | 2.4 | 393.09
2024-10-16 15:03:03 | node | 86.6 | 6.4 | 1055.48
2024-10-16 15:03:04 | k6 | 1.2 | 2.4 | 394.58
